Brand,Model_Name,Processor_name,ram,Processor_generation,OS,storage,rating,price,screen_size(inch)
Lenovo,LenovoIdeaPad3Corei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD35.56 ,4.2,"₹36,990", 14 
Lenovo,LenovoIdeaPad3Corei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹39,990", 15.6 
ASUS,ASUSVivoBook15(2022)Corei3,Intel Core i3 ,8 GB DDR4 ,10th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹32,990", 15.6 
HP,HPPavilionRyzen5HexaCore,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 10 ,512 GB SSD39.62 ,4.4,"₹49,990", 15.6 
ASUS,ASUSTUFGamingF15Corei5,Intel Core i5 ,8 GB DDR4 ,10th Gen,Windows 11 ,512 GB SSD39.62 ,4.4,"₹49,990", 15.6 
HP,HP14sIntelCorei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD35.56 ,4.2,"₹36,990", 14 
DELL,DELLInspironCorei311thGen,, 2 Cores,," & Storage: 8GB DDR4 & 1TB + 256GB SSDGraphics & Keyboard: Integrated & Standard KeyboardDisplay: 15.6"" FHD WVA AG Narrow BorderPorts: 2x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4, SD Card reader, Audio jack, 1 M.2 2230/2280 slot for solid-state drive/Intel OptaneIntel Core i3 ", & Storage: 8GB DDR4 & 1TB + 256GB SSDGraphics & Keyboard: Integrated & Standard Keyboard,4.3,"₹38,990", & Storage: 8GB DDR4 & 1TB + 256GB SSDGraphics & Keyboard: Integrated & Standard Keyboard
RedmiBook,RedmiBookProCorei511thGen,Intel Core i5 ,8 GB DDR4 ,11th Gen,Windows 11 ,512 GB SSD39.62 ,4.1,"₹39,990", 15.6 
realme,realmeBook(Slim)Corei311th,"Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 ",8 GB DDR4 ,11th Gen,64 bit Windows 10 ,256 GB SSD35.56 ,4.4,"₹46,990", 14 
ASUS,ASUSVivoBook14(2022)Ryzen7,AMD Ryzen 7 Quad Core ,16 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD35.56 ,4.1,"₹44,990", 14 
HP,HPPavilionRyzen5HexaCore,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.4,"₹59,990", 15.6 
Lenovo,LenovoIdeaPad1Ryzen5Quad,AMD Ryzen 5 Quad Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹38,705", 15.6  
ASUS,ASUSCorei311thGen-,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD39.62 ,4.3,"₹32,990", 15.6 
ASUS,ASUSTUFGamingA17with90Whr,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD43.94 ,4.4,"₹52,990", 17.3  
acer,acerExtensaCorei311thGen,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD39.62 ,4.3,"₹29,990", 15.6  
ASUS,ASUSROGStrixG15(2022)with,AMD Ryzen 9 Octa Core ,16 GB DDR5 ,,Windows 11 ,1 TB SSD39.62 ,3.9,"₹1,96,990", 15.6 
ASUS,ASUSVivoBook15(2022)Corei5,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,1 TB HDD|256 GB SSD39.62 ,4.3,"₹47,990", 15.6 
ASUS,ASUSVivobook15Corei511th,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹45,990", 15.6  
MSI,MSIBravo15Ryzen5Hexa,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.4,"₹47,990", 15.6 
ASUS,ASUSROGStrixG15Ryzen7,AMD Ryzen 7 Octa Core ,16 GB DDR4 ,,Windows 11 ,1 TB SSD39.62 ,4.6,"₹85,990", 15.6 
APPLE,APPLE2020MacbookAirM1-,Apple M1 ,8 GB DDR4 ,,Mac OS ,256 GB SSD33.78 ,4.7,"₹88,990", 13.3 
HP,HP14sIntelCorei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.2,"₹40,990", 14 
Lenovo,LenovoCeleronDualCore-(4,Intel Celeron Dual Core ,4 GB LPDDR4 ,,DOS ,256 GB HDD|256 GB SSD39.62 ,3.7,"₹19,490", 15.6 
Lenovo,LenovoIdeaPad1Ryzen3Dual,AMD Ryzen 3 Dual Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹35,590", 15.6  
HP,HPVictusIntelCorei512th,Intel Core i5 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹65,990", 15.6  
acer,acerAspire7Corei512th,Intel Core i5 ,16 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹58,990", 15.6 
acer,acerAspire3Ryzen3Dual,AMD Ryzen 3 Dual Core ,8 GB DDR4 ,,64 bit Windows 11 ,256 GB SSD39.62 ,4.2,"₹24,990", 15.6  
acer,acerAspire7Ryzen5Hexa,Free upgrade to Windows 11 when availableAMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.4,"₹47,990", 15.6 
ASUS,ASUSTUFGamingA17with90Whr,AMD Ryzen 7 Octa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD43.94 ,4.4,"₹73,990", 17.3  
Lenovo,LenovoIdeaPad3Corei512th,Intel Core i5 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹53,490", 15.6  
ASUS,ASUSROGStrixG15AdvantageEdition,AMD Ryzen 9 Octa Core ,16 GB DDR4 ,,Windows 11 ,1 TB SSD39.62 ,4.9,"₹1,50,990", 15.6 
Lenovo,LenovoIdeaPadGamingCorei511th,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹51,990", 15.6  
ASUS,ASUSVivobook14(2022)Corei5,Intel Core i5 ,16 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.7,"₹66,990", 14  Touchscreen 
ASUS,ASUSROGZephyrusG15Ryzen9,AMD Ryzen 9 Octa Core ,16 GB DDR5 ,,64 bit Windows 11 ,1 TB SSD39.62 ,4.3,"₹1,94,990", 15.6 
acer,acerAspire7Ryzen5Hexa,AMD Ryzen 5 Hexa Core ,16 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.4,"₹51,990", 15.6  
HP,HPAthlonDualCore3050U-,AMD Athlon Dual Core ,8 GB DDR4 ,,64 bit Windows 11 ,256 GB SSD35.56 ,3.9,"₹25,990", 14 
acer,acerAspireRyzen5QuadCore,AMD Ryzen 5 Quad Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹35,990", 15.6 
ASUS,ASUSVivoBook15(2021)Corei5,Intel Core i5 ,8 GB DDR4 ,10th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹43,990", 15.6 
Lenovo,LenovoIdeaPad3Ryzen5Hexa,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹44,990", 15.6 
Lenovo,LenovoIdeaPadGaming3Ryzen5,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,3.7,"₹64,490", 15.6 
ASUS,ASUSVivoBookK15OLED(2022)Core,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD39.62 ,4.4,"₹40,990", 15.6 
ASUS,ASUSVivoBookUltra14(2022)Core,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.4,"₹38,990", 14 
HP,HP15sIntelCorei512th,Intel Core i5 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹58,990", 15.6 
realme,realmeBook(Slim)IntelEvoCorei5,Powered by 11th Gen Intel Evo Core i5 ,Microsoft Office 2019 Home & Student IncludedStylish Thin and Light Laptop without Optical Disk DriveIntel Core i5 ,,Microsoft Office 2019 Home & Student IncludedStylish Thin and Light Laptop without Optical Disk DriveIntel Core i5 ,Microsoft Office 2019 Home & Student IncludedStylish Thin and Light Laptop without Optical Disk DriveIntel Core i5 ,4.4,"₹59,990",Microsoft Office 2019 Home & Student IncludedStylish Thin and Light Laptop without Optical Disk DriveIntel Core i5 
acer,acerAspire7Corei510th,Free upgrade to Windows 11 when availableIntel Core i5 ,8 GB DDR4 ,10th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.4,"₹47,990", 15.6 
HP,HPRyzen3QuadCore5300U,AMD Ryzen 3 Quad Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹37,499", 15.6 
ASUS,ASUSVivobookPro14XOLEDwith,AMD Ryzen 9 Octa Core ,8 GB DDR4 ,,64 bit Windows 10 ,1 TB SSD35.56 ,4.1,"₹94,990", 14  
ASUS,ASUSVivoBook15(2022)Corei3,Intel Core i3 ,8 GB DDR4 ,10th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹32,990", 15.6 
ASUS,ASUSVivoBook14(2021)CeleronDual,Intel Celeron Dual Core ,4 GB DDR4 ,,64 bit Windows 11 ,256 GB SSD35.56 ,4.0,"₹23,990", 14 
HP,HPRyzen5HexaCore5500U,AMD Ryzen 5 Hexa Core ,16 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD35.56 ,4.3,"₹48,990", 14 
APPLE,APPLE2022MacBookProM2-,Apple M2 ,8 GB Unified Memory ,,Mac OS ,512 GB SSD33.78 ,4.7,"₹1,39,990", 13.3  
ASUS,ASUSTUFGamingA15with90Whr,AMD Ryzen 7 Octa Core ,16 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.6,"₹89,990", 15.6  
ASUS,ASUSTUFGamingA15Ryzen5,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,1 TB SSD39.62 ,4.5,"₹59,990", 15.6 
DELL,DELLRyzen5HexaCoreAMD,, 16MB L3,," & Storage: 16GB DDR4 (2 DIMM Slots) & 512GB SSDGraphics: NVIDIA GEFORCE RTX 3050 (4GB GDDR6) TGP Up To 80WDisplay: 15.6"" FHD WVA AG 250 nits 120Hz Narrow Border, Backlit Keyboard OrangeColor: Phantom Grey with specklesPorts: (1) HDMI 2.1, (2) SuperSpeed USB 2.0 Gen 1 Type-A including (1) with PowerShare, (1) SuperSpeed USB 3.2, (1) USB-C Data/Display Port Alt-Mode, Headphone/Mic, (1) RJ45WiFi & BT: Killer Wi-Fi 6 AX1650 (2x2) and BluetoothAMD Ryzen 5 Hexa Core ", & Storage: 16GB DDR4 (2 DIMM Slots) & 512GB SSDGraphics: NVIDIA GEFORCE RTX 3050 (4GB GDDR6) TGP Up To 80W,4.6,"₹70,990", & Storage: 16GB DDR4 2 DIMM Slots & 512GB SSDGraphics: NVIDIA GEFORCE RTX 3050 4GB GDDR6 TGP Up To 80W
Infinix,InfinixINBookX1NeoSeriesCeleron,Intel Celeron Quad Core ,8 GB LPDDR4X ,,64 bit Windows 11 ,256 GB SSD35.56 ,4.2,"₹22,990", 14 
HP,HPRyzen5HexaCore5500U,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹46,990", 15.6 
ASUS,ASUSVivoBook15(2022)Corei5,Intel Core i5 ,8 GB DDR4 ,11th Gen,Windows 10 ,1 TB HDD|256 GB SSD39.62 ,4.3,"₹50,990", 15.6 
Infinix,InfinixX1SlimSeriesCorei3,Intel Core i3 ,8 GB LPDDR4X ,10th Gen,64 bit Windows 11 ,256 GB SSD35.56 ,4.2,"₹28,990", 14 
MSI,MSIKatanaGF66Corei711th,Intel Core i7 ,16 GB DDR4 ,11th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.3,"₹84,990", 15.6 
APPLE,APPLE2021MacbookProM1Pro,Apple M1 Pro ,16 GB Unified Memory ,,Mac OS ,512 GB SSD36.07 ,4.8,"₹1,81,990", 14.2 
MSI,MSIDelta15AMDAdvantageEdition,AMD Ryzen 9 Octa Core ,16 GB DDR4 ,5th Gen,64 bit Windows 11 ,1 TB SSD39.62 ,4.6,"₹1,09,990", 15.6 
SAMSUNG,SAMSUNGGalaxyBookGoSnapdragon7c,Qualcomm Snapdragon 7c Gen 2 ,4 GB LPDDR4X ,,Windows 11 ,35.56 ,4.4,"₹32,990", 14  
Infinix,InfinixX1SlimSeriesCorei5,Intel Core i5 ,16 GB LPDDR4X ,10th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.1,"₹37,990", 14  
APPLE,APPLE2022MacBookAIRM2-,Apple M2 ,8 GB Unified Memory ,,Mac OS ,512 GB SSD34.54 ,5.0,"₹1,39,990", 13.6  
Lenovo,LenovoIdeaPadCorei310thGen,Intel Core i3 ,4 GB DDR4 ,10th Gen,64 bit Windows 11 ,256 GB SSD39.62 ,4.4,"₹29,990", 15.6 
Lenovo,LenovoIdeaPad3CBCeleronDual,Intel Celeron Dual Core ,4 GB DDR4 ,,Chrome ,35.56 ,4.2,"₹19,490", 14  
Lenovo,LenovoIdeaPadGaming3Ryzen7,AMD Ryzen 7 Octa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.5,"₹73,490", 15.6 
ASUS,ASUSVivoBookK15OLED(2022)Ryzen,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,1 TB HDD|256 GB SSD39.62 ,4.4,"₹52,990", 15.6 
HP,HPCorei311thGen-,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹41,890", 15.6  
DELL,DELLInspironPentiumSilver-(8,,,," & Storage: 8GB DDR4 & 256GB SSDDisplay: 15.6"" HD AG Narrow BorderSoftware: Win 11 + Office H&S 20212x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4, SD Card reader, Audio jack, 1 M.2 2230/2280 slot for solid-state drive/Intel OptaneWiFi & BT: 802.11ac 1x1 WiFi and BluetoothIntel Pentium Silver ", & Storage: 8GB DDR4 & 256GB SSD,4.2,"₹30,428", & Storage: 8GB DDR4 & 256GB SSD
acer,acerExtensaCorei311thGen,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.1,"₹34,990", 15.6  
APPLE,APPLE2020MacbookAirM1-,Apple M1 ,8 GB DDR4 ,,Mac OS ,256 GB SSD33.78 ,4.7,"₹88,990", 13.3 
MSI,MSICorei711thGen-,Intel Core i7 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.4,"₹65,990", 15.6  
ASUS,ASUSVivobook15Corei310th,Intel Core i3 ,8 GB DDR4 ,10th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.1,"₹33,490", 15.6 
HP,HP14sIntelCorei512th,Intel Core i5 ,16 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.1,"₹60,990", 14 
ASUS,ASUSVivoBookK15OLEDRyzen7,AMD Ryzen 7 Octa Core ,16 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹59,990", 15.6  
MSI,MSIStealth15MCorei711th,Intel Core i7 ,16 GB DDR4 ,11th Gen,64 bit Windows 10 ,1 TB SSD39.62 ,4.2,"₹1,14,990", 15.6 
ASUS,ASUSROGZephyrusM16Corei7,Intel Core i7 ,16 GB DDR4 ,11th Gen,Windows 10 ,1 TB SSD40.64 ,4.3,"₹1,19,990", 16 
Infinix,InfinixINBookX2PlusCorei5,Intel Core i5 ,8 GB LPDDR4X ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹42,990", 15.6  
ASUS,ASUSVivobookPro15OLEDCore,Intel Core i5 ,16 GB LPDDR5 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.6,"₹89,990", 15.6  
MSI,MSIAlpha15AMDAdvantageEdition,AMD Ryzen 7 Octa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.5,"₹79,990", 15.6 
ASUS,ASUSCorei511thGen-,Intel Core i5 ,8 GB DDR4 ,11th Gen,Windows 11 ,1 TB SSD39.62 ,4.8,"₹70,990", 15.6 
Lenovo,LenovoIdeaPad3Corei310th,Intel Core i3 ,8 GB DDR4 ,10th Gen,Windows 11 ,256 GB SSD39.62 ,3.9,"₹33,900", 15.6  
Infinix,InfinixINBookX2PlusCorei7,Intel Core i7 ,16 GB LPDDR4X ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.8,"₹52,990", 15.6  
APPLE,APPLEMacBookAirM1-(16,Apple M1 ,16 GB DDR4 ,,Mac OS ,512 GB SSD33.78 ,4.7,"₹1,24,990", 13.3 
RedmiBook,RedmiBookProCorei311thGen,Intel Core i3 ,8 GB DDR4 ,11th Gen,Windows 11 ,256 GB SSD39.62 ,4.2,"₹31,990", 15.6 
acer,acerNitro5Ryzen5Hexa,AMD Ryzen 5 Hexa Core ,16 GB DDR4 ,,Windows 11 ,512 GB SSD39.62 ,4.3,"₹66,990", 15.6  
DELL,DELLRyzen7OctaCoreAMD,"NVIDIA RTX 3050 Graphics upto 90W TGP15.6 inch Full HD AG Display (250 nits Brightness, 120Hz, Narrow Border)Alienware Command CenterAMD Ryzen 7 Octa Core ",16 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,5.0,"₹89,081", 15.6 
APPLE,APPLEMacBookAirM1-(8,Apple M1 ,8 GB DDR4 ,,Mac OS ,512 GB SSD33.78 ,4.7,"₹1,04,990", 13.3 
Lenovo,LenovoIdeaPad3Corei511th,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹53,490", 15.6 
ASUS,ASUSVivoBookFlip14Corei3,Intel Core i3 ,8 GB LPDDR4X ,11th Gen,64 bit Windows 11 ,256 GB SSD35.56 ,4.5,"₹45,990", 14  Touchscreen 
ASUS,ASUSVivoBookK15OLED(2022)Core,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.5,"₹45,990", 15.6 
MSI,MSIGF63ThinCorei511th,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.4,"₹51,990", 15.6 
HP,HPPavilionGamingRyzen7Octa,AMD Ryzen 7 Octa Core ,16 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹75,990", 15.6 
Lenovo,LenovoIdeaPad3Corei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD39.62 ,4.2,"₹36,990", 15.6  
HP,HPPavilionIntelCorei511th,Intel Core i5 ,16 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,3.7,"₹78,800", 14 
HP,HPAthlonDualCore3050U-,AMD Athlon Dual Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.2,"₹29,390", 15.6 
Infinix,InfinixINBookX1Corei310th,Intel Core i3 ,8 GB LPDDR4X ,10th Gen,64 bit Windows 11 ,256 GB SSD35.56 ,4.3,"₹30,990", 14 
Lenovo,LenovoIdeaPad3Corei512th,Intel Core i5 ,16 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.1,"₹62,490", 15.6  
ASUS,ASUSVivobookS14OLED(2022)Intel,Intel Core i7 ,16 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,3.8,"₹89,990", 14  
HP,HP15sIntelCorei512th,Intel Core i5 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.1,"₹58,899", 15.6 
